listing_id,player_name,selling_club,paying_club,paying_club_league,face_value_eur,installment_1_eur,installment_2_eur,installment_3_eur,annual_revenue_eur_m,wage_to_revenue,operating_cash_flow_eur_m,debt_to_assets,regulatory_headroom_eur_m,uefa_coefficient_trend,league_position_trend,broadcast_revenue_share,payment_timeliness_score,management_tenure_years
RCV-001,Orkun Kökcü,Feyenoord,SL Benfica,Primeira Liga,25000000,10000000,8750000,6250000,185.0,0.71,9.5,0.63,10.0,2.5,0.8,0.36,0.68,3.0
RCV-002,Mats Wieffer,Feyenoord,Brighton & Hove Albion,Premier League,27000000,10800000,9450000,6750000,210.0,0.61,21.0,0.40,34.0,3.5,2.1,0.62,0.84,4.0
RCV-003,Lutsharel Geertruida,Feyenoord,RB Leipzig,Bundesliga,25000000,10000000,8750000,6250000,320.0,0.49,38.0,0.28,52.0,6.5,2.8,0.44,0.93,7.0
RCV-004,Santiago Giménez,Feyenoord,AC Milan,Serie A,35000000,14000000,12250000,8750000,380.0,0.63,22.0,0.45,27.0,4.2,1.8,0.48,0.82,3.5
RCV-005,Ramiz Zerrouki,FC Twente,Feyenoord,Eredivisie,7000000,2800000,2450000,1750000,155.0,0.58,15.0,0.41,21.0,5.0,3.2,0.29,0.86,5.0
RCV-006,Karim Adeyemi,FC Red Bull Salzburg,Borussia Dortmund,Bundesliga,38000000,15200000,13300000,9500000,420.0,0.51,32.0,0.31,50.0,8.5,1.5,0.43,0.91,8.0
RCV-007,Niclas Füllkrug,Borussia Dortmund,West Ham United,Premier League,27000000,10800000,9450000,6750000,230.0,0.74,8.0,0.57,13.0,1.5,-1.2,0.63,0.70,2.5
RCV-008,Randal Kolo Muani,FC Nantes,Eintracht Frankfurt,Bundesliga,15000000,6000000,5250000,3750000,175.0,0.59,17.0,0.39,28.0,4.5,1.8,0.41,0.85,5.5
RCV-009,Devyne Rensch,Ajax,AS Roma,Serie A,10000000,4000000,3500000,2500000,275.0,0.80,2.5,0.72,5.5,-0.8,-2.5,0.46,0.57,2.0
RCV-010,Rasmus Kristensen,FC Red Bull Salzburg,Leeds United,Championship,10000000,4000000,3500000,2500000,85.0,0.83,1.5,0.70,3.5,-8.5,-6.5,0.58,0.52,1.5
RCV-011,Micky van de Ven,VfL Wolfsburg,Tottenham Hotspur,Premier League,43000000,17200000,15050000,10750000,420.0,0.64,19.0,0.51,20.0,0.8,0.3,0.67,0.81,3.0
RCV-012,Armel Bella-Kotchap,VfL Bochum,Southampton FC,Championship,12000000,4800000,4200000,3000000,130.0,0.86,-4.5,0.75,-3.0,-9.5,-7.5,0.68,0.44,1.0
RCV-013,Arthur Cabral,FC Basel,ACF Fiorentina,Serie A,13000000,5200000,4550000,3250000,130.0,0.72,7.5,0.59,11.0,3.5,1.2,0.44,0.69,4.0
RCV-014,Gleison Bremer,Torino FC,Juventus,Serie A,41000000,16400000,14350000,10250000,380.0,0.84,-8.0,0.77,-6.0,-1.5,-2.0,0.50,0.43,2.5
RCV-015,Jesper Lindstrøm,Eintracht Frankfurt,SSC Napoli,Serie A,27000000,10800000,9450000,6750000,295.0,0.70,9.0,0.58,15.0,-2.5,-5.8,0.45,0.67,1.5
