club_name,league,annual_revenue_eur_m,wage_to_revenue,operating_cash_flow_eur_m,debt_to_assets,regulatory_headroom_eur_m,uefa_coefficient_trend,league_position_trend,broadcast_revenue_share,payment_timeliness_score,management_tenure_years,true_pd,defaulted
TSV Mooshausen,Bundesliga,114.8,0.558,41.0,0.275,42.2,6.46,-0.34,0.377,0.208,8.7,0.002,0
AFC Kanaalstad,Eredivisie,134.9,0.529,-5.5,0.342,24.9,-11.4,2.16,0.514,0.627,11.7,0.0029,0
Sparta Veenendaal,Eredivisie,167.3,0.996,29.8,0.437,11.9,14.42,-7.58,0.274,0.437,4.8,0.0743,0
Royal Ardennes FC,Belgian Pro League,136.0,0.885,16.2,0.402,-5.4,-14.32,2.2,0.259,0.088,9.4,0.6403,1
VfL Donaustein,Bundesliga,178.0,0.799,65.0,0.724,31.4,3.86,1.11,0.325,0.984,8.9,0.0002,0
Borussia Talheim,Bundesliga,202.5,0.673,41.9,0.59,52.7,-9.85,8.64,0.571,0.245,11.9,0.0141,0
SK Meerhout,Belgian Pro League,137.4,0.822,55.8,0.563,35.2,6.58,-1.75,0.383,0.511,9.3,0.0032,0
SC Eichberg,Bundesliga,82.3,1.015,-11.5,0.539,-4.0,-12.89,5.64,0.454,0.667,3.4,0.4906,1
KVC Houtland,Belgian Pro League,159.5,0.854,21.2,0.435,24.9,-12.57,-3.92,0.298,0.115,0.2,0.4435,1
SC Lindehoven,Eredivisie,217.7,0.802,52.7,0.539,6.9,-1.01,1.58,0.297,0.739,11.6,0.0034,0
FC Hertenbos,Eredivisie,89.6,0.787,6.5,0.3,-8.6,14.82,8.54,0.525,0.648,8.6,0.0034,0
Sparta Veenendaal,Eredivisie,142.6,0.703,33.1,0.294,3.0,-6.7,2.5,0.254,0.494,9.8,0.002,0
FC Waldkirchen,Bundesliga,213.5,0.853,32.2,0.343,-6.3,3.38,4.22,0.534,0.528,9.5,0.0369,0
Union Kempen,Belgian Pro League,113.8,1.047,57.4,0.316,-6.6,0.56,7.52,0.4,0.955,8.8,0.011,0
FC Waldkirchen,Bundesliga,162.3,0.735,0.2,0.612,39.0,10.26,8.51,0.536,0.911,9.0,0.0002,0
